File,Location,Import_Pattern,Count,Type,Priority
"apps/api/modules/telemetry/procedures/ingest-events.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/modules/telemetry/procedures/proxy-event.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/modules/telemetry/procedures/track-event.ts","apps/api","","       3","API Procedure/Route","High"
"apps/api/modules/telemetry/tests/enhanced-telemetry.test.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/users/procedures/create-avatar-upload-url.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/waitlist/procedures/get-position.ts","apps/api","","       3","API Procedure/Route","High"
"apps/api/modules/waitlist/procedures/get-recent-activity.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/waitlist/procedures/get-referrals.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/waitlist/procedures/helpers.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/modules/waitlist/procedures/join-waitlist.ts","apps/api","","       4","API Procedure/Route","High"
"apps/api/src/middleware/__tests__/api-key-scope.integration.test.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/src/middleware/__tests__/ratelimit.integration.test.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/src/routes/__tests__/api-endpoints.integration.test.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/src/routes/v1/__tests__/analyze.spec.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/src/routes/v1/analyze.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/src/routes/v1/detect-secrets.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/src/routes/v1/policy-current.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/src/routes/v1/policy-evaluate.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/src/routes/v1/telemetry-ingest.ts","apps/api","","       1","API Procedure/Route","High"
"apps/cli/test/unit/services/api-client.test.ts","packages","","       1","Package Test","Medium"
"apps/mcp-server/test/integration/score-dominance.spec.ts","packages","","       1","Package Test","Medium"
